Source,Target,Frequency,Recency_Days_Ago,Context
Me,User_1,38,4,Email
Me,User_2,46,36,Email
Me,User_3,2,74,Email
Me,User_4,7,94,Email
Me,User_5,11,38,Email
Me,User_6,24,9,Email
Me,User_7,40,91,Email
Me,User_8,38,37,Email
Me,User_9,34,93,Email
Me,User_10,9,27,Email
Me,User_11,18,92,Email
Me,User_12,22,44,Email
Me,User_13,47,38,Email
Me,User_14,4,98,Email
User_42,User_28,17,295,Email
User_50,User_13,19,293,LinkedIn
User_9,User_13,18,228,LinkedIn
User_9,User_10,12,228,Calendar
User_48,User_2,18,46,LinkedIn
User_23,User_32,19,90,Email
User_4,User_32,13,228,Calendar
User_15,User_36,5,81,Email
User_50,User_23,1,27,LinkedIn
User_38,User_2,8,290,LinkedIn
User_41,User_20,5,266,Email
User_5,User_42,7,242,Calendar
User_50,User_29,19,24,Calendar
User_9,User_6,17,252,LinkedIn
User_11,User_38,3,29,Email
User_17,User_12,17,355,Email
User_16,User_10,3,198,Email
User_24,User_41,11,64,LinkedIn
User_30,User_12,19,135,Email
User_47,User_38,12,152,Email
User_9,User_34,13,322,Email
User_35,User_46,6,52,Email
User_31,User_16,9,99,Email
User_42,User_10,1,183,LinkedIn
User_4,User_1,15,96,LinkedIn
User_32,User_3,14,242,LinkedIn
User_29,User_48,5,49,LinkedIn
User_21,User_28,11,304,LinkedIn
User_5,User_21,17,166,Email
User_36,User_24,11,239,LinkedIn
User_47,User_35,8,207,Calendar
User_22,User_36,19,30,LinkedIn
User_22,User_19,3,132,Email
User_36,User_50,6,97,Calendar
User_22,User_49,13,328,Calendar
User_42,User_37,13,355,Calendar
User_46,User_22,13,37,Email
User_8,User_10,15,329,Email
User_23,User_13,2,82,Email
User_39,User_19,10,250,Email
User_26,User_16,15,108,Calendar
User_28,User_17,5,197,LinkedIn
User_27,User_14,17,300,Calendar
User_18,User_5,13,94,Calendar
Me,User_39,15,329,LinkedIn
User_37,User_31,9,331,Email
User_46,User_42,3,321,Email
User_16,User_24,2,1,Calendar
User_50,User_22,14,59,LinkedIn
User_14,User_18,8,278,LinkedIn
User_26,User_35,2,10,Email
User_21,User_45,10,315,LinkedIn
User_19,User_4,2,174,Calendar
User_12,User_22,11,225,Calendar
User_34,User_28,20,296,LinkedIn
User_32,User_4,9,140,LinkedIn
User_29,User_5,1,330,LinkedIn
User_9,User_15,8,152,Calendar
User_43,User_30,3,101,LinkedIn
Me,User_32,2,340,Calendar
User_34,User_14,7,50,Email
User_39,User_1,14,20,Calendar
User_23,User_48,8,160,Calendar
User_47,User_18,6,229,LinkedIn
User_12,User_48,6,34,Calendar
User_2,User_23,14,148,LinkedIn
User_39,User_50,20,362,Calendar
User_36,User_4,15,249,LinkedIn
User_41,User_10,6,305,Email
User_28,User_3,7,221,LinkedIn
User_43,User_26,19,18,Email
User_25,User_40,3,210,Email
User_3,User_24,4,107,LinkedIn
User_5,User_29,12,210,Calendar
User_9,User_14,3,122,Calendar
User_29,User_36,9,173,LinkedIn
User_5,User_25,18,322,Email
User_24,User_36,13,203,Email
User_14,User_11,5,180,Calendar
User_49,User_43,13,148,Calendar
User_13,User_31,14,155,LinkedIn
User_11,User_35,20,106,LinkedIn
User_22,User_38,19,325,LinkedIn
User_23,User_37,8,186,Calendar
User_14,User_13,10,166,LinkedIn
User_33,User_41,9,249,LinkedIn
User_2,User_31,15,156,Email
User_33,User_44,16,20,Email
User_24,User_3,16,275,Calendar
User_42,User_9,1,80,Calendar
User_37,User_41,3,302,Email
User_6,User_48,16,15,Email
User_10,User_36,16,356,Calendar
User_45,User_43,10,116,Email
User_13,User_48,9,10,Email
User_50,User_6,5,254,LinkedIn
User_48,User_31,5,149,Calendar
User_8,User_34,10,240,LinkedIn
User_15,User_50,5,338,Calendar
